album_name,album_release_date,album_total_tracks,track_name,track_id,track_popularity,track_duration_ms,track_number,is_explicit,is_playable,track_preview_url,track_uri,artists
Overseas,2018-06-15,12,Gemini,3rJEu8LZdav4zROLJynwnj,45,206680,8,False,N/A,https://p.scdn.co/mp3-preview/cd64b9ae812c9d64507c74036f25ce22273414e3?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:3rJEu8LZdav4zROLJynwnj,Evergreen
Greek Tragedy (Oliver Nelson TikTok Remix),2021-01-15,2,Greek Tragedy - Oliver Nelson TikTok Remix,64rqvMhAPLLEag310IG3z9,61,306428,1,False,N/A,https://p.scdn.co/mp3-preview/373ba394c3b25b06db8777b15938985b681c0fb8?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:64rqvMhAPLLEag310IG3z9,"The Wombats, Oliver Nelson"
Espresso,2024-04-12,1,Espresso,2qSkIjg1o9h3YT9RAgYN75,98,175459,1,True,N/A,https://p.scdn.co/mp3-preview/c4f4406777deb17f09c0237b22044a8b18d986a4?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter
Birds In The Trap Sing McKnight,2016-09-16,14,goosebumps,6gBFPUFcJLzWGx4lenP6h2,86,243836,9,True,N/A,https://p.scdn.co/mp3-preview/5c45fee2743d39984ed2c1e2493d04a42d626f81?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott
HIT ME HARD AND SOFT,2024-05-17,10,CHIHIRO,7BRD7x5pt8Lqa1eGYC4dzj,90,303440,3,False,N/A,https://p.scdn.co/mp3-preview/2b57d233ddb7137924c7a198741b97e8698023ae?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,Billie Eilish
replica,2023-11-15,35,踊り子,1YXot2MLAG9sttepCtBRM7,71,229328,9,False,N/A,https://p.scdn.co/mp3-preview/4daae1b81fbec587b59d420d5e073c03787c740d?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:1YXot2MLAG9sttepCtBRM7,Vaundy
Tungsten,2021-01-13,13,Part of Me,2yRlcQn3yUqseUYHw2XzNZ,36,201081,12,False,N/A,https://p.scdn.co/mp3-preview/f6738101b884e1a425fc8cf305b229e147b95c5c?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:2yRlcQn3yUqseUYHw2XzNZ,Healy
MAKER'S DESIGN,2022-10-28,7,THE SEASON (feat. PawPaw Rod),3rPn6mXyAwe1VKDp6Odz0K,36,186531,4,False,N/A,https://p.scdn.co/mp3-preview/bcbe29229a72c7dd418af40d757ef979ab4eb447?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:3rPn6mXyAwe1VKDp6Odz0K,"Sherwyn, PawPaw Rod"
Bury Me At Makeout Creek,2014-11-11,10,First Love/Late Spring,3sslYZcFKtUvIEWN9lADgr,77,278640,3,False,N/A,https://p.scdn.co/mp3-preview/1b5df384765c985f6f1176645b06a2d77ff29a64?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:3sslYZcFKtUvIEWN9lADgr,Mitski
Spring EP,2018-04-06,6,These Days,4gZDCOFuLCxCRWNhSEcOtJ,62,202626,4,True,N/A,https://p.scdn.co/mp3-preview/669c1a1e71cb5f92006b12c87c1cb9cf12fc9780?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:4gZDCOFuLCxCRWNhSEcOtJ,Wallows
Who Needs Guitars Anyway?,2000-10-01,14,Better Off Alone,5XVjNRubJUW0iPhhSWpLCj,77,214883,2,False,N/A,https://p.scdn.co/mp3-preview/1351f3e191f38f51ff88a1e29e6fe552db539c36?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:5XVjNRubJUW0iPhhSWpLCj,Alice Deejay
Substance,1987-08-17,24,Blue Monday,6hHc7Pks7wtBIW8Z6A0iFq,70,449160,4,False,N/A,https://p.scdn.co/mp3-preview/07cdd79876d552e09c8691a370d2b007cd180d6a?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:6hHc7Pks7wtBIW8Z6A0iFq,New Order
What Could Possibly Go Wrong,2020-07-31,14,Why,1xLs8Mu1QEVbGCpyHQ2r2U,69,139906,6,True,N/A,https://p.scdn.co/mp3-preview/bf655bb3cd6cf697d99042a6c053d0e28e75576a?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:1xLs8Mu1QEVbGCpyHQ2r2U,Dominic Fike
808s & Heartbreak,2008-11-24,12,Heartless,4EWCNWgDS8707fNSZ1oaA5,84,211000,3,False,N/A,https://p.scdn.co/mp3-preview/920b09535e94d18179265783aeb8b3ccb2495977?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:4EWCNWgDS8707fNSZ1oaA5,Kanye West
MILLION DOLLAR BABY,2024-04-26,2,MILLION DOLLAR BABY,5AJ9hqTS2wcFQCELCFRO7A,93,155151,1,False,N/A,https://p.scdn.co/mp3-preview/c5c9eeb40ca98441ab1d0767fdc417afa2af9695?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,Tommy Richman
Taro Lover,2021-01-05,3,Slowtime,3pqSUnc3Inyyw9DOCcCrOC,45,170000,1,False,N/A,https://p.scdn.co/mp3-preview/40f001aaad48be910d299cf029a35f4409152425?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:3pqSUnc3Inyyw9DOCcCrOC,Science Noodles
Let U Go,2023-01-08,1,Let U Go,40TZnaw4eDPChJNHw2Swf3,72,128004,1,False,N/A,https://p.scdn.co/mp3-preview/a5f39e3efa65be88a0e24f3b56d3d382c9aff2f6?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:40TZnaw4eDPChJNHw2Swf3,lucidbeatz
2 DOGS 1 LEASH,2022-07-29,1,2 DOGS 1 LEASH,45oMIfd1rZbS4jNj0Ro5iw,50,162461,1,True,N/A,https://p.scdn.co/mp3-preview/32e23aad4eacd750333be1a8ea4c8f827507a91f?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:45oMIfd1rZbS4jNj0Ro5iw,Noah Guy
Nectar,2020-09-24,18,Like You Do,4vgU9MGJwhgBEtlO8mMN49,70,240294,17,False,N/A,https://p.scdn.co/mp3-preview/fe98fbb0697a31ed52eb4aa63c04064f3d2c505a?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:4vgU9MGJwhgBEtlO8mMN49,Joji
